idUsuario,idEpisodio,fechaVisualizacion
1,1,2024-01-12
1,2,2024-01-19
1,3,2024-01-26
2,2,2024-02-05
2,3,2024-02-12
2,4,2024-02-19
3,3,2024-03-01
3,4,2024-03-08
3,5,2024-03-15
4,4,2024-04-20
4,5,2024-04-27
4,6,2024-05-04
5,5,2024-05-12
5,6,2024-05-19
5,7,2024-05-26
6,6,2024-06-02
6,7,2024-06-09
6,8,2024-06-16
7,7,2024-07-22
7,8,2024-07-29
7,9,2024-08-05
8,8,2024-08-12
8,9,2024-08-19
8,10,2024-08-26
9,9,2024-09-02
9,10,2024-09-09
9,1,2024-09-16
10,10,2024-10-01
10,1,2024-10-08
10,2,2024-10-15
