idSerie,título,aniodelanzamiento,resumen
1,Stranger Things,2016,"Niños en los años 80s enfrentan fuerzas sobrenaturales y secretos gubernamentales."
2,Fringe,2008,"Un equipo del FBI investiga fenómenos inexplicables y perturbadores que desafían las leyes de la física."
3,Gangsta,2015,"En la ciudad de Ergastulum dos "manitas" aceptan trabajos que nadie más quiere desde hacer cumplir la ley hasta realizar actividades ilegales."
4,The Crown,2016,"Una mirada a la vida de la Reina Isabel II y los eventos que han moldeado el final del siglo XX."
5,Como la Primera Vez,2023,"Un grupo de amigos que se reencuentran después de varios años y reviven sus viejas aventuras y romances"
6,The Mandalorian,2019,"Un pistolero solitario en la frontera del universo conocido enfrenta aventuras y peligros tras la caída del Imperio."
7,Narcos: México,2018,"Explora los orígenes de la guerra moderna contra las drogas, volviendo a sus inicios con el surgimiento del cártel de Guadalajara en los años 80."
8,Friends,1994,"Seis amigos en sus 20s y 30s tratan de navegar la vida y el amor en Nueva York."
9,Dark,2017,"Cuatro familias se enredan en un misterio que abarca tres generaciones y se relaciona con la desaparición de varios niños en un pequeño pueblo alemán."
10,The Office (US),2005,"Una mirada cómica a la vida cotidiana de los empleados de la oficina de Dunder Mifflin en Scranton, Pensilvania."
